cluster_size,tet_per_block,nelements,closk,Throughtput
32 , 6 , 24942592 , 1.887984e-01, 1.321123e+08 
32 , 6 , 24942592 , 1.902488e-01, 1.311051e+08 
32 , 6 , 24942592 , 1.892266e-01, 1.318133e+08 
32 , 6 , 24942592 , 1.894134e-01, 1.316833e+08 
32 , 6 , 24942592 , 1.902168e-01, 1.311272e+08 
32 , 6 , 24942592 , 1.884650e-01, 1.323460e+08 
32 , 8 , 24942592 , 2.000551e-01, 1.246786e+08 
32 , 8 , 24942592 , 2.016492e-01, 1.236930e+08 
32 , 8 , 24942592 , 1.991107e-01, 1.252700e+08 
32 , 8 , 24942592 , 2.019707e-01, 1.234961e+08 
32 , 8 , 24942592 , 1.977822e-01, 1.261114e+08 
32 , 8 , 24942592 , 1.985678e-01, 1.256125e+08 
32 , 8 , 24942592 , 1.973725e-01, 1.263732e+08 
32 , 8 , 24942592 , 1.984963e-01, 1.256577e+08 
32 , 8 , 24942592 , 1.997925e-01, 1.248425e+08 
32 , 8 , 24942592 , 1.985796e-01, 1.256050e+08 
32 , 12 , 24942592 , 2.340288e-01, 1.065792e+08 
32 , 12 , 24942592 , 2.328337e-01, 1.071262e+08 
32 , 12 , 24942592 , 2.323968e-01, 1.073276e+08 
32 , 12 , 24942592 , 2.322172e-01, 1.074106e+08 
32 , 12 , 24942592 , 2.322687e-01, 1.073868e+08 
32 , 12 , 24942592 , 2.324881e-01, 1.072855e+08 
32 , 12 , 24942592 , 2.330191e-01, 1.070410e+08 
32 , 12 , 24942592 , 2.318147e-01, 1.075971e+08 
32 , 12 , 24942592 , 2.328877e-01, 1.071014e+08 
32 , 12 , 24942592 , 2.322891e-01, 1.073774e+08 
32 , 16 , 24942592 , 2.255169e-01, 1.106019e+08 
32 , 16 , 24942592 , 2.241213e-01, 1.112906e+08 
32 , 16 , 24942592 , 2.237229e-01, 1.114888e+08 
32 , 16 , 24942592 , 2.237198e-01, 1.114903e+08 
32 , 16 , 24942592 , 2.245317e-01, 1.110872e+08 
32 , 16 , 24942592 , 2.243153e-01, 1.111943e+08 
32 , 16 , 24942592 , 2.238459e-01, 1.114275e+08 
32 , 16 , 24942592 , 2.239599e-01, 1.113708e+08 
32 , 16 , 24942592 , 2.240857e-01, 1.113083e+08 
32 , 16 , 24942592 , 2.240426e-01, 1.113297e+08 


48 , 4 , 24942592 , 1.929471e-01, 1.292716e+08 
48 , 4 , 24942592 , 1.914019e-01, 1.303153e+08 
48 , 4 , 24942592 , 1.941550e-01, 1.284674e+08 
48 , 4 , 24942592 , 1.894422e-01, 1.316633e+08 
48 , 4 , 24942592 , 1.892203e-01, 1.318177e+08 
48 , 4 , 24942592 , 1.922463e-01, 1.297429e+08 
48 , 4 , 24942592 , 1.884894e-01, 1.323289e+08 
48 , 4 , 24942592 , 1.897023e-01, 1.314828e+08 
48 , 4 , 24942592 , 1.895863e-01, 1.315633e+08 
48 , 4 , 24942592 , 1.911324e-01, 1.304991e+08 
48 , 6 , 24942592 , 2.056266e-01, 1.213004e+08 
48 , 6 , 24942592 , 2.031033e-01, 1.228074e+08 
48 , 6 , 24942592 , 2.016957e-01, 1.236645e+08 
48 , 6 , 24942592 , 2.029490e-01, 1.229008e+08 
48 , 6 , 24942592 , 2.050174e-01, 1.216608e+08 
48 , 6 , 24942592 , 2.000670e-01, 1.246712e+08 
48 , 6 , 24942592 , 1.998977e-01, 1.247768e+08 
48 , 6 , 24942592 , 2.018636e-01, 1.235616e+08 
48 , 6 , 24942592 , 2.004887e-01, 1.244090e+08 
48 , 6 , 24942592 , 2.042748e-01, 1.221031e+08 
48 , 8 , 24942592 , 2.146621e-01, 1.161947e+08 
48 , 8 , 24942592 , 2.122629e-01, 1.175080e+08 
48 , 8 , 24942592 , 2.166481e-01, 1.151295e+08 
48 , 8 , 24942592 , 2.136005e-01, 1.167722e+08 
48 , 8 , 24942592 , 2.109846e-01, 1.182200e+08 
48 , 8 , 24942592 , 2.125370e-01, 1.173565e+08 
48 , 8 , 24942592 , 2.166928e-01, 1.151058e+08 
48 , 8 , 24942592 , 2.141542e-01, 1.164702e+08 
48 , 8 , 24942592 , 2.161324e-01, 1.154042e+08 
48 , 8 , 24942592 , 2.136375e-01, 1.167520e+08 
48 , 12 , 24942592 , 2.515333e-01, 9.916219e+07 
48 , 12 , 24942592 , 2.502040e-01, 9.968901e+07 
48 , 12 , 24942592 , 2.504611e-01, 9.958669e+07 
48 , 12 , 24942592 , 2.509056e-01, 9.941025e+07 
48 , 12 , 24942592 , 2.507909e-01, 9.945571e+07 
48 , 12 , 24942592 , 2.510240e-01, 9.936337e+07 
48 , 12 , 24942592 , 2.506878e-01, 9.949662e+07 
48 , 12 , 24942592 , 2.500374e-01, 9.975544e+07 
48 , 12 , 24942592 , 2.510423e-01, 9.935615e+07 
48 , 12 , 24942592 , 2.518611e-01, 9.903313e+07 
48 , 16 , 24942592 , 2.480320e-01, 1.005620e+08 
48 , 16 , 24942592 , 2.477938e-01, 1.006587e+08 
48 , 16 , 24942592 , 2.474390e-01, 1.008030e+08 
48 , 16 , 24942592 , 2.473726e-01, 1.008301e+08 
48 , 16 , 24942592 , 2.480544e-01, 1.005529e+08 
48 , 16 , 24942592 , 2.475826e-01, 1.007445e+08 
48 , 16 , 24942592 , 2.473025e-01, 1.008586e+08 
48 , 16 , 24942592 , 2.473140e-01, 1.008540e+08 
48 , 16 , 24942592 , 2.479482e-01, 1.005960e+08 
48 , 16 , 24942592 , 2.485173e-01, 1.003656e+08 


64 , 4 , 24942592 , 2.027954e-01, 1.229939e+08 
64 , 4 , 24942592 , 2.017092e-01, 1.236562e+08 
64 , 4 , 24942592 , 2.053394e-01, 1.214701e+08 
64 , 4 , 24942592 , 2.002099e-01, 1.245822e+08 
64 , 4 , 24942592 , 2.060733e-01, 1.210375e+08 
64 , 4 , 24942592 , 1.954971e-01, 1.275855e+08 
64 , 4 , 24942592 , 1.987514e-01, 1.254964e+08 
64 , 4 , 24942592 , 1.998184e-01, 1.248263e+08 
64 , 4 , 24942592 , 2.013152e-01, 1.238982e+08 
64 , 4 , 24942592 , 2.025094e-01, 1.231676e+08 
64 , 6 , 24942592 , 2.145447e-01, 1.162583e+08 
64 , 6 , 24942592 , 2.158694e-01, 1.155448e+08 
64 , 6 , 24942592 , 2.127026e-01, 1.172651e+08 
64 , 6 , 24942592 , 2.162477e-01, 1.153427e+08 
64 , 6 , 24942592 , 2.127590e-01, 1.172340e+08 
64 , 6 , 24942592 , 2.147523e-01, 1.161459e+08 
64 , 6 , 24942592 , 2.170575e-01, 1.149124e+08 
64 , 6 , 24942592 , 2.174315e-01, 1.147147e+08 
64 , 6 , 24942592 , 2.213639e-01, 1.126769e+08 
64 , 6 , 24942592 , 2.136827e-01, 1.167273e+08 
64 , 8 , 24942592 , 2.300627e-01, 1.084165e+08 
64 , 8 , 24942592 , 2.341176e-01, 1.065387e+08 
64 , 8 , 24942592 , 2.314278e-01, 1.077770e+08 
64 , 8 , 24942592 , 2.311329e-01, 1.079145e+08 
64 , 8 , 24942592 , 2.289203e-01, 1.089576e+08 
64 , 8 , 24942592 , 2.285198e-01, 1.091485e+08 
64 , 8 , 24942592 , 2.288076e-01, 1.090112e+08 
64 , 8 , 24942592 , 2.276920e-01, 1.095453e+08 
64 , 8 , 24942592 , 2.287342e-01, 1.090462e+08 
64 , 8 , 24942592 , 2.305500e-01, 1.081873e+08 
64 , 12 , 24942592 , 2.738016e-01, 9.109731e+07 
64 , 12 , 24942592 , 2.739646e-01, 9.104313e+07 
64 , 12 , 24942592 , 2.758391e-01, 9.042443e+07 
